progress,score,time
1.946952820,0.857117119,122.914617777
1.966071870,0.859823911,124.148727655
1.985267922,0.862488000,125.387070894
2.004548186,0.865113459,126.623905659
2.023797806,0.867684968,127.861130953
2.042859759,0.870178704,129.104636908
2.062941060,0.872759970,130.347499609
2.081919758,0.875149228,131.587271929
2.101326870,0.877552674,132.828635931
2.120370375,0.879865183,134.069895983
2.139475985,0.882139339,135.304314852
2.158641649,0.884374291,136.542301893
2.177620199,0.886550375,137.782044888
2.196829277,0.888704570,139.021050930
2.215909029,0.890809658,140.260005713
2.235255843,0.892899863,141.499535799
2.254383149,0.894930610,142.740105867
2.273693906,0.896937798,143.984939814
2.293559738,0.898964243,145.228757858
2.313969860,0.900998842,146.479427814
2.333020099,0.902875243,147.716789961
2.352168194,0.904713271,148.957903862
2.371193514,0.906510411,150.205143690
2.390242499,0.908277239,151.447445869
2.409671650,0.910041004,152.691637993
2.428962450,0.911758809,153.934711695
2.448162807,0.913436079,155.180924892
2.467401754,0.915084236,156.427388906
2.486764184,0.916710637,157.673970938
2.506862670,0.918367001,158.920887709
2.527256400,0.920013186,160.169358730
2.546968064,0.921577462,161.421511889
2.566102264,0.923064653,162.670027733
2.585403393,0.924535119,163.916332722
2.604438782,0.925958961,165.164551973
2.623904648,0.927383853,166.413475752
2.643142859,0.928766892,167.657600880
2.662242889,0.930114176,168.904302835
2.681576112,0.931454702,170.152412891
2.700941920,0.932768628,171.398880720
2.721129386,0.934110847,172.660654783
2.741502762,0.935439954,173.915585041
2.761096299,0.936693500,175.163982868
2.780310360,0.937899336,176.413470984
2.799791336,0.939095964,177.664113760
2.819101187,0.940261569,178.913637877
2.838409155,0.941404366,180.165988922
2.857994535,0.942540843,181.416852951
2.876960900,0.943620326,182.666138887
2.896360895,0.944701858,183.916536808
2.916290252,0.945790238,185.175758839
2.937053235,0.946901268,186.443504810
2.957462311,0.947973430,187.705040932
2.977023811,0.948986596,188.962349653
2.996393093,0.949965238,190.215801716
3.016069879,0.950938263,191.476200819
